customer_id,name,country,segment
1,customer_1,Sweden,vip
2,customer_2,Sweden,vip
3,customer_3,Sweden,premium
4,customer_4,Sweden,premium
5,customer_5,Sweden,basic
6,customer_6,Sweden,basic
7,customer_7,Sweden,vip
8,customer_8,Sweden,vip
9,customer_9,Sweden,premium
10,customer_10,Sweden,premium
11,customer_11,Sweden,vip
12,customer_12,Sweden,premium
13,customer_13,Sweden,basic
14,customer_14,Sweden,premium
15,customer_15,Sweden,vip
16,customer_16,Sweden,premium
17,customer_17,Sweden,premium
18,customer_18,Sweden,vip
19,customer_19,Sweden,premium
20,customer_20,Sweden,basic
21,customer_21,Sweden,premium
22,customer_22,Sweden,premium
23,customer_23,Sweden,premium
24,customer_24,Sweden,vip
25,customer_25,Sweden,vip
26,customer_26,Sweden,vip
27,customer_27,Sweden,basic
28,customer_28,Sweden,basic
29,customer_29,Sweden,basic
30,customer_30,Sweden,vip
31,customer_31,Sweden,basic
32,customer_32,Sweden,basic
33,customer_33,Sweden,premium
34,customer_34,Sweden,vip
35,customer_35,Sweden,vip
36,customer_36,Sweden,basic
37,customer_37,Sweden,premium
38,customer_38,Sweden,basic
39,customer_39,Sweden,vip
40,customer_40,Sweden,vip
41,customer_41,Sweden,basic
42,customer_42,Sweden,basic
43,customer_43,Sweden,basic
44,customer_44,Sweden,premium
45,customer_45,Sweden,vip
46,customer_46,Sweden,basic
47,customer_47,Sweden,premium
48,customer_48,Sweden,basic
49,customer_49,Sweden,vip
50,customer_50,Sweden,premium
51,customer_51,Sweden,vip
52,customer_52,Sweden,vip
53,customer_53,Sweden,basic
54,customer_54,Sweden,basic
55,customer_55,Sweden,vip
56,customer_56,Sweden,basic
57,customer_57,Sweden,basic
58,customer_58,Sweden,vip
59,customer_59,Sweden,basic
60,customer_60,Sweden,basic
61,customer_61,Sweden,vip
62,customer_62,Sweden,basic
63,customer_63,Sweden,basic
64,customer_64,Sweden,vip
65,customer_65,Sweden,vip
66,customer_66,Sweden,vip
67,customer_67,Sweden,vip
68,customer_68,Sweden,vip
69,customer_69,Sweden,premium
70,customer_70,Sweden,premium
71,customer_71,Sweden,premium
72,customer_72,Sweden,premium
73,customer_73,Sweden,vip
74,customer_74,Sweden,basic
75,customer_75,Sweden,premium
76,customer_76,Sweden,basic
77,customer_77,Sweden,vip
78,customer_78,Sweden,basic
79,customer_79,Sweden,basic
80,customer_80,Sweden,premium
81,customer_81,Sweden,basic
82,customer_82,Sweden,vip
83,customer_83,Sweden,vip
84,customer_84,Sweden,basic
85,customer_85,Sweden,vip
86,customer_86,Sweden,premium
87,customer_87,Sweden,premium
88,customer_88,Sweden,vip
89,customer_89,Sweden,premium
90,customer_90,Sweden,premium
91,customer_91,Sweden,basic
92,customer_92,Sweden,basic
93,customer_93,Sweden,vip
94,customer_94,Sweden,premium
95,customer_95,Sweden,vip
96,customer_96,Sweden,vip
97,customer_97,Sweden,premium
98,customer_98,Sweden,vip
99,customer_99,Sweden,basic
100,customer_100,Sweden,premium
